,County,State,riskLevels,vaccination Ratio,actualvaccine,Death,Female,Male,10~14,15~19,20~24,25~34,35~44,45~54,55~64,65~74,75~84,85 plus
120,Richmond County,GA,5,0.361,82406,586,48013,34500,1789,4208,4484,10196,10768,11693,15748,14462,6827,2433
121,Rockdale County,GA,3,0.446,46110,199,25743,20362,1123,2624,2461,4733,5714,8056,9158,7485,3672,1165
122,Schley County,GA,5,0.285,1830,6,1016,797,24,71,76,234,208,306,358,284,213,61
123,Screven County,GA,3,0.41,6805,42,3695,3076,136,260,293,763,839,874,1269,1448,711,225
124,Seminole County,GA,3,0.408,3874,21,2154,1737,71,165,160,369,435,518,704,806,520,147
125,Spalding County,GA,5,0.352,27105,235,14949,12196,421,1015,1064,2477,3090,4238,5358,5497,3155,886
126,Stephens County,GA,5,0.361,10800,82,5875,4947,114,331,408,986,1090,1444,2045,2453,1420,540
127,Stewart County,GA,3,0.278,2086,26,1129,967,32,62,56,166,242,298,460,419,262,101
128,Sumter County,GA,5,0.441,14965,114,8272,6691,312,753,749,1566,1938,2292,2730,2676,1436,548
129,Talbot County,GA,3,0.428,2979,22,1686,1297,49,108,98,232,320,408,671,692,334,84
130,Taliaferro County,GA,3,0.416,742,3,378,363,12,26,22,67,85,92,161,159,91,27
131,Tattnall County,GA,3,0.288,8532,91,4431,4105,134,325,428,1072,1116,1297,1611,1430,896,252
132,Taylor County,GA,5,0.39,3757,28,2081,1640,55,120,157,394,472,594,760,688,403,121
133,Telfair County,GA,3,0.239,4501,63,2382,2113,82,169,194,472,630,667,867,862,411,155
134,Terrell County,GA,5,0.495,4919,54,2721,2203,114,214,192,477,605,708,971,982,508,164
135,Thomas County,GA,5,0.433,22239,150,12571,9696,529,1132,1011,2171,2872,3144,4223,4029,2366,840
136,Tift County,GA,3,0.358,17012,150,9394,7571,398,857,915,1728,2131,2528,3193,3082,1651,555
137,Toombs County,GA,3,0.35,11312,140,5924,5352,188,459,680,1505,1512,1581,1987,1955,1123,369
138,Towns County,GA,5,0.464,6168,69,3398,2778,29,114,185,339,363,501,1077,1771,1311,491
139,Treutlen County,GA,3,0.28,2400,37,1337,1061,42,87,97,233,291,380,473,445,273,85
140,Troup County,GA,3,0.316,26196,268,14544,11506,457,1181,1231,2998,3353,3973,5044,4841,2333,879
141,Turner County,GA,3,0.446,4149,45,2268,1885,80,173,227,512,532,565,737,769,416,146
142,Twiggs County,GA,3,0.463,4471,51,2424,2058,70,221,183,453,548,653,896,897,451,116
143,Union County,GA,3,0.426,11679,96,6381,5291,88,273,336,681,760,1094,2181,3432,2141,720
144,Upson County,GA,5,0.391,11971,139,6684,5308,187,406,485,1084,1331,1843,2509,2401,1303,450
145,Walker County,GA,3,0.286,23312,102,12449,10842,302,849,981,2100,2612,3242,4522,4988,2884,884
146,Walton County,GA,3,0.362,38946,289,21815,17155,657,1724,1871,3798,4806,6409,7790,6826,3932,1209
147,Ware County,GA,3,0.336,14233,213,7794,6442,158,481,636,1450,1620,2106,2669,2904,1578,642
148,Warren County,GA,5,0.419,2541,21,1442,1096,56,101,105,262,271,344,508,517,273,112
149,Washington County,GA,3,0.387,9294,100,5256,3984,205,444,380,861,1041,1307,2058,1792,864,344
150,Wayne County,GA,5,0.311,11362,123,6294,5033,152,385,526,1128,1438,1605,2194,2293,1270,409
151,Webster County,GA,3,0.391,1169,4,638,533,17,37,45,97,141,175,259,225,122,55
152,Wheeler County,GA,3,0.215,2037,29,1088,951,37,89,75,191,255,302,366,421,240,70
153,White County,GA,5,0.323,11414,108,6237,5178,106,336,438,950,981,1387,2255,2682,1761,538
154,Whitfield County,GA,5,0.381,45723,284,24450,21301,1185,3050,2975,5325,6010,7366,8036,6748,3825,1310
155,Wilcox County,GA,3,0.316,3221,50,1725,1503,58,105,139,331,501,469,606,613,319,97
156,Wilkes County,GA,5,0.413,4561,33,2532,2020,63,157,201,402,529,612,893,905,585,223
157,Wilkinson County,GA,3,0.446,4664,31,2671,2004,76,230,247,388,512,631,1016,921,486,171
158,Worth County,GA,3,0.369,8576,78,4806,3772,132,313,324,733,1006,1218,1744,1824,1005,291
